scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,True,l1,10.0,1000,0.7798120130004188
True,True,l1,10.0,5000,0.7798120130004188
True,True,l1,1.0,1000,0.7628352209844913
True,True,l1,1.0,5000,0.7628352209844913
True,True,l1,0.1,1000,0.7106449372883752
True,True,l1,0.1,5000,0.7106449372883752
True,True,l1,0.0001,1000,0.5
True,True,l1,0.0001,5000,0.5
True,True,l1,0.001,1000,0.5
True,True,l1,0.001,5000,0.5
True,True,l1,0.01,1000,0.3643691493691493
True,True,l1,0.01,5000,0.3643691493691493
