n_estimators,max_depth,learning_rate,subsample,reg_alpha,gamma,average_roc_auc
300.0,3.0,0.1,0.8,1.0,0.5,0.8890576065165774
300.0,3.0,0.1,1.0,1.0,0.5,0.8825886527883701
300.0,10.0,0.1,0.8,1.0,0.5,0.8750778796501667
300.0,6.0,0.1,0.8,1.0,0.5,0.8744040032620045
30.0,3.0,0.1,0.8,1.0,0.5,0.8685730080281411
30.0,3.0,0.1,0.8,1.0,5.0,0.8656854013868103
300.0,3.0,0.1,0.8,1.0,5.0,0.8656047699161117
300.0,10.0,0.1,1.0,1.0,0.5,0.8651106314371981
300.0,6.0,0.1,0.8,1.0,5.0,0.8601114962334222
300.0,10.0,0.1,0.8,1.0,5.0,0.8601114962334222
300.0,6.0,0.1,1.0,1.0,0.5,0.8588636597140359
30.0,3.0,0.1,1.0,1.0,0.5,0.8578434252190754
300.0,3.0,0.1,0.8,1.0,10.0,0.8480919966636777
30.0,3.0,0.1,1.0,1.0,5.0,0.8471203276366636
300.0,3.0,0.1,1.0,1.0,5.0,0.8463755951967334
30.0,6.0,0.1,0.8,1.0,0.5,0.8455436558855233
30.0,10.0,0.1,0.8,1.0,5.0,0.8444853036639635
30.0,6.0,0.1,0.8,1.0,5.0,0.8444853036639635
30.0,10.0,0.1,0.8,1.0,0.5,0.8398684228293378
300.0,6.0,0.1,1.0,1.0,5.0,0.8375400579304028
300.0,10.0,0.1,1.0,1.0,5.0,0.8375400579304028
300.0,10.0,0.1,0.8,1.0,10.0,0.837067227781766
300.0,6.0,0.1,0.8,1.0,10.0,0.837067227781766
30.0,6.0,0.1,1.0,1.0,5.0,0.8354291623324093
30.0,10.0,0.1,1.0,1.0,5.0,0.8354291623324093
30.0,10.0,0.1,1.0,1.0,0.5,0.8317598092945262
300.0,10.0,0.1,1.0,1.0,10.0,0.8288431986590094
300.0,6.0,0.1,1.0,1.0,10.0,0.8288431986590094
30.0,6.0,0.1,1.0,1.0,0.5,0.8274909564542449
30.0,3.0,0.1,0.8,1.0,10.0,0.8247226577288941
30.0,10.0,0.1,1.0,1.0,10.0,0.8095772273766769
30.0,6.0,0.1,1.0,1.0,10.0,0.8095772273766769
300.0,3.0,0.1,1.0,1.0,10.0,0.8076456968662695
30.0,3.0,0.1,1.0,1.0,10.0,0.8058326298225555
300.0,3.0,0.1,0.8,10.0,0.5,0.8047010646442551
300.0,3.0,0.1,1.0,10.0,0.5,0.8018885713430731
30.0,3.0,0.1,1.0,10.0,0.5,0.8014643931882481
300.0,6.0,0.1,0.8,10.0,0.5,0.7989206456284677
300.0,10.0,0.1,0.8,10.0,0.5,0.7989206456284677
300.0,6.0,0.1,1.0,10.0,0.5,0.7941065297515078
300.0,10.0,0.1,1.0,10.0,0.5,0.7941065297515078
30.0,6.0,0.1,1.0,10.0,0.5,0.7936823515966828
30.0,10.0,0.1,1.0,10.0,0.5,0.7936823515966828
30.0,10.0,0.1,0.8,1.0,10.0,0.793384110914157
30.0,6.0,0.1,0.8,1.0,10.0,0.793384110914157
