criterion,max_depth,min_samples_split,min_samples_leaf,max_features,average_roc_auc
entropy,,10,5,sqrt,0.7325667434013392
entropy,10,10,5,sqrt,0.7325667434013392
gini,10,10,5,sqrt,0.731284960585824
gini,,10,5,sqrt,0.731284960585824
gini,,50,10,sqrt,0.7289842186583841
gini,10,50,10,sqrt,0.7289842186583841
entropy,3,10,5,sqrt,0.7122813723109134
gini,,20,20,sqrt,0.7105740495344344
gini,,10,20,sqrt,0.7105740495344344
gini,10,20,20,sqrt,0.7105740495344344
gini,10,10,20,sqrt,0.7105740495344344
gini,,50,20,sqrt,0.7047929963724288
gini,10,50,20,sqrt,0.7047929963724288
gini,,50,5,sqrt,0.7038076785580951
gini,10,50,5,sqrt,0.7038076785580951
entropy,10,50,5,sqrt,0.6926284443074828
entropy,,50,5,sqrt,0.6926284443074828
entropy,5,10,5,sqrt,0.6889775405468735
entropy,,20,20,sqrt,0.6787557062626496
entropy,,10,20,sqrt,0.6787557062626496
entropy,10,10,20,sqrt,0.6787557062626496
entropy,10,20,20,sqrt,0.6787557062626496
entropy,,50,10,sqrt,0.6755153183563021
entropy,10,50,10,sqrt,0.6755153183563021
gini,10,20,5,sqrt,0.6667774710014522
entropy,3,20,5,sqrt,0.6663530722159465
gini,,20,5,sqrt,0.6646407188647001
gini,5,20,5,sqrt,0.6544440996768927
gini,5,50,10,sqrt,0.6514951610974941
gini,5,10,5,sqrt,0.6491030354732824
entropy,3,10,10,sqrt,0.64782234599737
entropy,3,20,10,sqrt,0.64782234599737
gini,3,20,10,sqrt,0.6447045519860245
gini,3,10,10,sqrt,0.6447045519860245
gini,5,10,20,sqrt,0.644220288656864
gini,5,20,20,sqrt,0.644220288656864
entropy,10,50,20,sqrt,0.6406491302989308
entropy,,50,20,sqrt,0.6406491302989308
entropy,10,20,5,sqrt,0.6400536581625306
entropy,,20,5,sqrt,0.6400536581625306
gini,5,50,5,sqrt,0.6373798323745301
entropy,5,10,20,sqrt,0.6364519386017391
entropy,5,20,20,sqrt,0.6364519386017391
gini,3,10,5,sqrt,0.6351570052933483
gini,5,50,20,sqrt,0.6348067084099503
entropy,5,50,5,sqrt,0.6309475546690868
gini,3,20,5,sqrt,0.6254720429893383
entropy,3,50,10,sqrt,0.6191512859233659
entropy,5,50,20,sqrt,0.6169810391308397
entropy,3,50,5,sqrt,0.6155450483662118
entropy,5,50,10,sqrt,0.614365273534465
gini,5,20,10,sqrt,0.6115118794977907
gini,5,10,10,sqrt,0.6115118794977907
gini,,20,10,sqrt,0.6105694797458672
gini,,10,10,sqrt,0.6105694797458672
gini,10,20,10,sqrt,0.6093349118446325
gini,10,10,10,sqrt,0.6093349118446325
entropy,,20,10,sqrt,0.6070635742733405
entropy,,10,10,sqrt,0.6070635742733405
entropy,10,10,10,sqrt,0.6070635742733405
entropy,10,20,10,sqrt,0.6070635742733405
entropy,5,20,5,sqrt,0.6048633370198284
entropy,3,50,20,sqrt,0.602155894134761
entropy,3,20,20,sqrt,0.602155894134761
entropy,3,10,20,sqrt,0.602155894134761
entropy,5,20,10,sqrt,0.5827700591464919
entropy,5,10,10,sqrt,0.5827700591464919
gini,3,50,10,sqrt,0.5699667047031083
gini,3,50,20,sqrt,0.5474145661382444
gini,3,20,20,sqrt,0.5474145661382444
gini,3,10,20,sqrt,0.5474145661382444
gini,3,50,5,sqrt,0.5414995252072968
