no_lstm_units,batch_size,average_roc_auc
16.0,32.0,0.8345112543329986
32.0,32.0,0.8284268150768176
16.0,64.0,0.8219965236126929
32.0,64.0,0.8168592208343761
64.0,64.0,0.8018914218154233
64.0,32.0,0.7940758348035024
32.0,128.0,0.7775829849331339
4.0,32.0,0.7743031713414988
64.0,128.0,0.7676257462830205
16.0,128.0,0.7566135556106772
4.0,64.0,0.6695285042199651
4.0,128.0,0.6362689354200741
