scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,False,l2,0.01,1000,0.6400920034048854
True,False,l2,0.01,5000,0.6400920034048854
True,False,l2,0.1,1000,0.6378229792187273
True,False,l2,0.1,5000,0.6378229792187273
True,False,l2,0.001,1000,0.6357537861077729
True,False,l2,0.001,5000,0.6357537861077729
True,False,l2,0.0001,1000,0.6334186495836246
True,False,l2,0.0001,5000,0.6334186495836246
True,False,l2,1.0,1000,0.6201970846496928
True,False,l2,1.0,5000,0.6201970846496928
True,False,l2,10.0,1000,0.6153262192629965
True,False,l2,10.0,5000,0.6153262192629965
True,False,l2,100.0,1000,0.6147979296312882
True,False,l2,100.0,5000,0.6147979296312882
True,False,l2,1000.0,1000,0.6147979296312882
True,False,l2,1000.0,5000,0.6147979296312882
