Feature,Coefficient
Heart Rate variability Systolic Blood Pressure kurtosis,0.0
Heart Rate variability Pulse Pressure mean,0.0
Heart Rate variability Breathing Rate variability,0.0
Heart Rate variability Breathing Rate kurtosis,0.0
Heart Rate variability Heart Rate kurtosis,0.0
Heart Rate variability Breathing Rate mean,0.0
Heart Rate variability Breathing Rate skewness,0.0
Heart Rate variability Breathing Rate min,0.0
Heart Rate variability Heart Rate skewness,0.0
Heart Rate variability Pulse Pressure variability,-0.00121050936451722
Breathing Rate skewness Breathing Rate kurtosis,-0.015308154172221358
Heart Rate skewness Breathing Rate min,-0.01808161014154959
Systolic Blood Pressure mean,-0.021404898315026337
Systolic Blood Pressure mean Mean Blood Pressure mean,-0.02692614093179082
APGAR 10-minute Pulse Pressure mean,-0.03690738664849901
Pulse Pressure max,-0.038802885518353356
Systolic Blood Pressure kurtosis Diastolic Bood Pressure kurtosis,-0.041334967392672776
Breathing Rate variability Pulse Pressure variability,-0.041440247379876144
APGAR 10-minute Breathing Rate skewness,-0.04198760223749542
First window timestamp Pulse Pressure max,-0.07191491236413929
Heart Rate variability,-0.09701137440671109
Breathing Rate skewness Pulse Pressure variability,-0.12635690713797879
Breathing Rate variability Breathing Rate min,-0.1943570042124195
Breathing Rate mean Breathing Rate min,-0.19491312849204825
Heart Rate skewness,-0.23482344603728064
First window timestamp Breathing Rate min,-0.2372408609172809
APGAR 10-minute Breathing Rate min,-0.32517155638267253
Breathing Rate mean Breathing Rate variability,-0.4147083497246654
Pulse Pressure mean,-0.7220904120922017
Intercept,-2.538562344720124
