scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,False,l2,0.0001,1000,0.7103539120424757
True,False,l2,0.0001,5000,0.7103539120424757
True,False,l2,100.0,1000,0.7078006772010915
True,False,l2,100.0,5000,0.7078006772010915
True,False,l2,1000.0,1000,0.7077588310343211
True,False,l2,1000.0,5000,0.7077588310343211
True,False,l2,0.001,1000,0.707592610704433
True,False,l2,0.001,5000,0.707592610704433
True,False,l2,10.0,1000,0.7072538391959703
True,False,l2,10.0,5000,0.7072538391959703
True,False,l2,1.0,1000,0.7061002072254463
True,False,l2,1.0,5000,0.7061002072254463
True,False,l2,0.01,1000,0.7027422986068705
True,False,l2,0.01,5000,0.7027422986068705
True,False,l2,0.1,1000,0.7025526879367048
True,False,l2,0.1,5000,0.7025526879367048
