no_lstm_units,batch_size,average_roc_auc
16.0,64.0,0.7953883076622982
16.0,32.0,0.7906369394093875
32.0,32.0,0.7781765897261953
32.0,128.0,0.7717780278138966
64.0,32.0,0.7559642711595483
4.0,64.0,0.742095255782732
64.0,64.0,0.7395349729522285
64.0,128.0,0.7287094698741092
32.0,64.0,0.7285304029715374
16.0,128.0,0.7276365001539623
4.0,32.0,0.7097542529470031
4.0,128.0,0.58447730285215
