no_lstm_units,batch_size,average_roc_auc
16.0,64.0,0.7008302241879911
16.0,128.0,0.6809750844521179
32.0,128.0,0.6573223463063605
64.0,128.0,0.6524228793483924
64.0,32.0,0.6517583506173548
32.0,32.0,0.6506442044650097
16.0,32.0,0.6399214448906111
4.0,64.0,0.6347574161815793
4.0,32.0,0.6334779526037843
64.0,64.0,0.6234970341192235
32.0,64.0,0.596766142998781
4.0,128.0,0.49357734735237174
