criterion,max_depth,min_samples_split,min_samples_leaf,max_features,average_roc_auc
gini,,50,10,sqrt,0.6973088580324788
gini,10,50,10,sqrt,0.6872366783375199
gini,10,50,5,sqrt,0.6631134961260341
gini,,20,5,sqrt,0.6427924454549641
gini,5,50,5,sqrt,0.6363747657017741
gini,10,10,5,sqrt,0.6300832346486741
gini,,50,5,sqrt,0.6290008826052275
gini,,20,10,sqrt,0.6255460242754087
gini,,10,10,sqrt,0.6255460242754087
gini,5,20,5,sqrt,0.622208541146808
gini,5,50,10,sqrt,0.6205362308942427
gini,10,20,5,sqrt,0.6200264060600871
entropy,10,20,5,sqrt,0.615301647777785
gini,,10,20,sqrt,0.6126454255491413
gini,,20,20,sqrt,0.6126454255491413
gini,10,20,20,sqrt,0.6126454255491413
gini,10,10,20,sqrt,0.6126454255491413
gini,3,50,10,sqrt,0.607743350074232
gini,3,50,5,sqrt,0.607743350074232
entropy,,20,5,sqrt,0.602427606008908
gini,10,10,10,sqrt,0.6005751116352805
gini,10,20,10,sqrt,0.6005751116352805
gini,,10,5,sqrt,0.5967894995193967
gini,5,50,20,sqrt,0.595180618642845
entropy,10,20,10,sqrt,0.5920292738509685
entropy,10,10,10,sqrt,0.5920292738509685
gini,5,10,5,sqrt,0.5909201252707522
entropy,5,50,20,sqrt,0.5845249969698584
gini,5,20,20,sqrt,0.5757926154632511
gini,5,10,20,sqrt,0.5757926154632511
entropy,5,20,20,sqrt,0.5750560787506394
entropy,5,10,20,sqrt,0.5750560787506394
gini,3,50,20,sqrt,0.5745997919812088
entropy,5,10,5,sqrt,0.5741107767223212
gini,10,50,20,sqrt,0.5725900926702354
gini,,50,20,sqrt,0.5725900926702354
entropy,,50,10,sqrt,0.572442611029419
entropy,,10,10,sqrt,0.5694815225935914
entropy,,20,10,sqrt,0.5694815225935914
gini,3,20,20,sqrt,0.5652921516837106
gini,3,10,20,sqrt,0.5652921516837106
gini,5,20,10,sqrt,0.5612682655756392
gini,5,10,10,sqrt,0.5612682655756392
entropy,3,50,20,sqrt,0.5595287480203684
entropy,,50,20,sqrt,0.5589885688463144
entropy,10,50,20,sqrt,0.5589885688463144
entropy,3,20,20,sqrt,0.5575341570805442
entropy,3,10,20,sqrt,0.5575341570805442
entropy,10,50,10,sqrt,0.5547752784872895
gini,3,10,5,sqrt,0.5547561200488451
gini,3,20,5,sqrt,0.5547561200488451
gini,3,20,10,sqrt,0.5537423039824054
gini,3,10,10,sqrt,0.5537423039824054
entropy,5,50,5,sqrt,0.5450732623815902
entropy,,20,20,sqrt,0.5359024350716602
entropy,,10,20,sqrt,0.5359024350716602
entropy,10,20,20,sqrt,0.5359024350716602
entropy,10,10,20,sqrt,0.5359024350716602
entropy,5,50,10,sqrt,0.533190480490474
entropy,,10,5,sqrt,0.533131848713643
entropy,5,10,10,sqrt,0.5280316832029639
entropy,5,20,10,sqrt,0.5280316832029639
entropy,10,50,5,sqrt,0.5216952942263003
entropy,,50,5,sqrt,0.5216952942263003
entropy,5,20,5,sqrt,0.5207583907054271
entropy,3,50,5,sqrt,0.5159430155667378
entropy,3,50,10,sqrt,0.5138100518978185
entropy,10,10,5,sqrt,0.5046008295681909
entropy,3,10,5,sqrt,0.4753430436326161
entropy,3,20,5,sqrt,0.4753430436326161
entropy,3,10,10,sqrt,0.47039940982706696
entropy,3,20,10,sqrt,0.47039940982706696
