scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,True,l1,0.1,1000,0.707468791029314
True,True,l1,0.1,5000,0.707468791029314
True,True,l1,1.0,1000,0.6778785711110926
True,True,l1,1.0,5000,0.6778785711110926
True,True,l1,10.0,1000,0.6721254898012844
True,True,l1,10.0,5000,0.6721254898012844
True,True,l1,0.0001,1000,0.5
True,True,l1,0.0001,5000,0.5
True,True,l1,0.001,1000,0.5
True,True,l1,0.001,5000,0.5
True,True,l1,0.01,1000,0.41938777850258396
True,True,l1,0.01,5000,0.41938777850258396
