n_estimators,max_depth,learning_rate,subsample,reg_alpha,gamma,average_roc_auc
300.0,3.0,0.1,0.8,1.0,0.5,0.6917286498523503
300.0,6.0,0.1,0.8,1.0,0.5,0.6772072192368908
300.0,10.0,0.1,0.8,1.0,0.5,0.6665725079111241
300.0,3.0,0.1,1.0,1.0,0.5,0.665075488669773
300.0,10.0,0.1,1.0,1.0,0.5,0.6572214003547742
300.0,6.0,0.1,0.8,1.0,5.0,0.6549392531587868
300.0,10.0,0.1,0.8,1.0,5.0,0.6540701529292966
300.0,3.0,0.1,0.8,1.0,5.0,0.6531974682315834
30.0,3.0,0.1,1.0,1.0,0.5,0.6520132635253569
300.0,6.0,0.1,1.0,1.0,0.5,0.6498582728215809
300.0,3.0,0.1,1.0,10.0,0.5,0.6484915522107145
30.0,3.0,0.1,1.0,10.0,0.5,0.6453168280150234
30.0,10.0,0.1,0.8,1.0,0.5,0.6452349220719634
300.0,6.0,0.1,0.8,1.0,10.0,0.6444009560866455
300.0,10.0,0.1,0.8,1.0,10.0,0.6444009560866455
30.0,6.0,0.1,0.8,1.0,0.5,0.6429964273920943
30.0,10.0,0.1,0.8,1.0,5.0,0.6421452043779929
300.0,6.0,0.1,1.0,10.0,0.5,0.6417943104026762
300.0,6.0,0.1,0.8,10.0,0.5,0.64174660700662
30.0,6.0,0.1,1.0,1.0,5.0,0.6417033490360287
30.0,3.0,0.1,0.8,1.0,0.5,0.6414028842017021
30.0,6.0,0.1,1.0,10.0,0.5,0.6412723904581258
300.0,6.0,0.1,1.0,1.0,5.0,0.6411242795569008
30.0,3.0,0.1,0.8,1.0,5.0,0.6408881065127979
30.0,6.0,0.1,1.0,1.0,0.5,0.6408299880476507
300.0,10.0,0.1,1.0,10.0,0.5,0.6406056934547051
30.0,6.0,0.1,0.8,1.0,5.0,0.6400893115735935
30.0,10.0,0.1,1.0,10.0,0.5,0.639650804065229
300.0,3.0,0.1,0.8,10.0,0.5,0.6394637498781175
300.0,3.0,0.1,1.0,1.0,5.0,0.639398732801201
300.0,10.0,0.1,0.8,10.0,0.5,0.6388489994588954
30.0,10.0,0.1,0.8,10.0,0.5,0.6370727932515174
30.0,3.0,0.1,1.0,1.0,5.0,0.6349454318135039
300.0,3.0,0.1,0.8,1.0,10.0,0.6339533615851959
30.0,6.0,0.1,0.8,10.0,0.5,0.6336749348332031
30.0,3.0,0.1,0.8,10.0,0.5,0.631995792756805
30.0,10.0,0.1,1.0,1.0,0.5,0.63149825525709
300.0,3.0,0.1,1.0,1.0,10.0,0.6270797400240516
300.0,10.0,0.1,1.0,1.0,5.0,0.6267518372426139
30.0,10.0,0.1,1.0,1.0,10.0,0.6255789630285542
300.0,10.0,0.1,1.0,1.0,10.0,0.6255789630285542
30.0,6.0,0.1,1.0,1.0,10.0,0.6252016045379882
300.0,6.0,0.1,1.0,1.0,10.0,0.6252016045379882
30.0,10.0,0.1,1.0,1.0,5.0,0.6238214533779424
30.0,3.0,0.1,1.0,1.0,10.0,0.6221280036545775
30.0,3.0,0.1,0.8,1.0,10.0,0.6143742419762714
30.0,6.0,0.1,0.8,1.0,10.0,0.6138721694626336
30.0,10.0,0.1,0.8,1.0,10.0,0.6138721694626336
300.0,6.0,0.1,0.8,10.0,5.0,0.6109780071732852
300.0,10.0,0.1,0.8,10.0,5.0,0.6109780071732852
30.0,6.0,0.1,0.8,10.0,5.0,0.6050811608930569
30.0,10.0,0.1,0.8,10.0,5.0,0.6050811608930569
300.0,3.0,0.1,0.8,10.0,5.0,0.6043521687483969
30.0,3.0,0.1,0.8,10.0,5.0,0.6004427452445796
300.0,3.0,0.1,0.8,50.0,0.5,0.598512167845183
300.0,10.0,0.1,0.8,50.0,0.5,0.5923829884021967
300.0,6.0,0.1,0.8,50.0,0.5,0.5923829884021967
30.0,6.0,0.1,1.0,10.0,5.0,0.5748020589817973
30.0,10.0,0.1,1.0,10.0,5.0,0.5748020589817973
300.0,10.0,0.1,1.0,10.0,5.0,0.5748020589817973
300.0,6.0,0.1,1.0,10.0,5.0,0.5748020589817973
30.0,3.0,0.1,1.0,10.0,5.0,0.5740526589930665
300.0,3.0,0.1,1.0,10.0,5.0,0.5740526589930665
300.0,6.0,0.1,0.8,10.0,10.0,0.5712326189734807
300.0,10.0,0.1,0.8,10.0,10.0,0.5712326189734807
300.0,3.0,0.1,0.8,10.0,10.0,0.5704360397283708
30.0,10.0,0.1,0.8,10.0,10.0,0.5652424726560599
30.0,6.0,0.1,0.8,10.0,10.0,0.5652424726560599
30.0,3.0,0.1,0.8,10.0,10.0,0.5638530033351483
300.0,10.0,0.1,1.0,10.0,10.0,0.5542140966142556
30.0,6.0,0.1,1.0,10.0,10.0,0.5542140966142556
30.0,10.0,0.1,1.0,10.0,10.0,0.5542140966142556
300.0,6.0,0.1,1.0,10.0,10.0,0.5542140966142556
30.0,3.0,0.1,0.8,50.0,0.5,0.5533489559161282
300.0,3.0,0.1,1.0,10.0,10.0,0.5493269156112011
30.0,3.0,0.1,1.0,10.0,10.0,0.5493269156112011
30.0,10.0,0.1,0.8,50.0,0.5,0.545552069528892
30.0,6.0,0.1,0.8,50.0,0.5,0.545552069528892
300.0,10.0,0.1,1.0,100.0,5.0,0.5
300.0,10.0,0.1,1.0,100.0,0.5,0.5
300.0,6.0,0.1,0.8,50.0,5.0,0.5
30.0,3.0,0.1,0.8,50.0,5.0,0.5
300.0,6.0,0.1,0.8,100.0,5.0,0.5
300.0,6.0,0.1,0.8,100.0,0.5,0.5
300.0,6.0,0.1,0.8,50.0,10.0,0.5
