criterion,max_depth,min_samples_split,min_samples_leaf,max_features,average_roc_auc
entropy,3,10,5,sqrt,0.6895049173946339
entropy,3,20,5,sqrt,0.6780367384406326
entropy,3,10,10,sqrt,0.671237904227797
entropy,3,20,10,sqrt,0.671237904227797
entropy,3,50,5,sqrt,0.6598247333320758
entropy,5,20,20,sqrt,0.6586387029727986
entropy,5,10,20,sqrt,0.6586387029727986
entropy,5,50,20,sqrt,0.6583772650643018
entropy,3,50,10,sqrt,0.6544052094640679
entropy,5,50,5,sqrt,0.6543058760537142
gini,5,50,10,sqrt,0.649892710896093
entropy,3,10,20,sqrt,0.6496146400464373
entropy,3,20,20,sqrt,0.6496146400464373
entropy,3,50,20,sqrt,0.6496146400464373
gini,10,10,20,sqrt,0.6458325016459021
gini,,20,20,sqrt,0.6458325016459021
gini,,10,20,sqrt,0.6458325016459021
gini,10,20,20,sqrt,0.6458325016459021
entropy,5,50,10,sqrt,0.6397512756202639
gini,10,20,5,sqrt,0.6378533919609314
gini,3,10,5,sqrt,0.6313430028283189
entropy,,20,20,sqrt,0.6296860985751472
entropy,,10,20,sqrt,0.6296860985751472
entropy,10,20,20,sqrt,0.6296860985751472
entropy,10,10,20,sqrt,0.6296860985751472
gini,5,50,20,sqrt,0.6289954095640575
gini,5,20,20,sqrt,0.6275965776388795
gini,5,10,20,sqrt,0.6275965776388795
entropy,5,10,10,sqrt,0.6240546621626473
entropy,5,20,10,sqrt,0.6240546621626473
gini,,20,5,sqrt,0.6235963132945282
entropy,10,50,20,sqrt,0.6234425311960509
entropy,,50,20,sqrt,0.6234425311960509
gini,10,10,5,sqrt,0.6163404240532333
gini,5,10,5,sqrt,0.6132591969575147
gini,,10,5,sqrt,0.6005276668222754
entropy,5,20,5,sqrt,0.6002532996257024
gini,3,20,5,sqrt,0.6001940845338429
gini,10,50,10,sqrt,0.5990692279261993
gini,10,50,20,sqrt,0.5964129935420663
gini,,50,20,sqrt,0.5964129935420663
entropy,5,10,5,sqrt,0.5934240805354025
gini,,50,10,sqrt,0.5928682860109717
gini,3,50,5,sqrt,0.5923783534668804
entropy,10,10,10,sqrt,0.5903559288572239
entropy,10,20,10,sqrt,0.5903559288572239
gini,5,50,5,sqrt,0.5869187017967855
gini,5,20,5,sqrt,0.5863304908001314
gini,10,50,5,sqrt,0.5850024775939613
gini,3,10,10,sqrt,0.5838950196824221
gini,3,20,10,sqrt,0.5838950196824221
entropy,10,20,5,sqrt,0.582791065754108
entropy,,50,5,sqrt,0.5728548482888046
entropy,10,50,5,sqrt,0.5728548482888046
gini,,50,5,sqrt,0.5671009755160954
gini,,10,10,sqrt,0.5614921406813206
gini,,20,10,sqrt,0.5614921406813206
gini,3,20,20,sqrt,0.5611576607537863
gini,3,50,20,sqrt,0.5611576607537863
gini,3,10,20,sqrt,0.5611576607537863
gini,3,50,10,sqrt,0.5599685260080293
entropy,,50,10,sqrt,0.5581122327954587
entropy,10,50,10,sqrt,0.5581122327954587
entropy,,20,5,sqrt,0.5544032885978578
gini,10,10,10,sqrt,0.5468139617174274
gini,10,20,10,sqrt,0.5468139617174274
entropy,,10,10,sqrt,0.5454932163097823
entropy,,20,10,sqrt,0.5454932163097823
gini,5,10,10,sqrt,0.5424655899260282
gini,5,20,10,sqrt,0.5424655899260282
entropy,,10,5,sqrt,0.534395225334039
entropy,10,10,5,sqrt,0.5336898849962062
