n_estimators,max_depth,learning_rate,subsample,reg_alpha,gamma,average_roc_auc
300.0,3.0,0.1,0.8,1.0,0.5,0.7379043129871512
300.0,10.0,0.1,0.8,1.0,0.5,0.7146987525614139
300.0,6.0,0.1,0.8,1.0,0.5,0.7127499768435156
300.0,3.0,0.1,1.0,1.0,0.5,0.7068254380548677
300.0,3.0,0.1,0.8,10.0,0.5,0.6878261457228214
300.0,6.0,0.1,0.8,10.0,0.5,0.6862639990867702
30.0,10.0,0.1,0.8,1.0,0.5,0.6850323736764004
30.0,3.0,0.1,0.8,1.0,0.5,0.6845260800323533
300.0,10.0,0.1,0.8,10.0,0.5,0.68147312497978
300.0,10.0,0.1,1.0,1.0,0.5,0.6784313857965386
300.0,6.0,0.1,1.0,1.0,0.5,0.6755981390816981
30.0,6.0,0.1,0.8,1.0,0.5,0.6749786982948358
300.0,3.0,0.1,0.8,1.0,10.0,0.6714226008592638
30.0,6.0,0.1,0.8,10.0,0.5,0.6702669496422959
300.0,6.0,0.1,0.8,1.0,10.0,0.6690274937760061
300.0,10.0,0.1,0.8,1.0,10.0,0.6690274937760061
30.0,10.0,0.1,1.0,1.0,0.5,0.6674764484762709
30.0,10.0,0.1,0.8,10.0,0.5,0.665691482148387
300.0,3.0,0.1,0.8,1.0,5.0,0.6627541642610864
300.0,3.0,0.1,1.0,10.0,0.5,0.6607639143944479
30.0,3.0,0.1,0.8,1.0,5.0,0.6601785776773317
300.0,6.0,0.1,1.0,10.0,0.5,0.6594253017543451
30.0,3.0,0.1,0.8,10.0,0.5,0.6582520206864391
30.0,6.0,0.1,1.0,1.0,0.5,0.6580469930090239
30.0,3.0,0.1,1.0,1.0,0.5,0.6577908177641886
300.0,10.0,0.1,0.8,1.0,5.0,0.6575994845236243
30.0,3.0,0.1,1.0,10.0,0.5,0.657366724100706
30.0,10.0,0.1,0.8,1.0,10.0,0.6567196849374921
30.0,6.0,0.1,0.8,1.0,10.0,0.6567196849374921
300.0,6.0,0.1,0.8,1.0,5.0,0.656328541598546
300.0,10.0,0.1,1.0,10.0,0.5,0.6549499086910683
30.0,6.0,0.1,1.0,10.0,0.5,0.6516858381528126
30.0,10.0,0.1,1.0,10.0,0.5,0.6503266647574795
30.0,3.0,0.1,0.8,1.0,10.0,0.6488123614213016
300.0,3.0,0.1,1.0,1.0,5.0,0.6485560775084402
30.0,3.0,0.1,1.0,1.0,5.0,0.6485560775084402
300.0,6.0,0.1,0.8,10.0,5.0,0.6463477367485275
300.0,10.0,0.1,0.8,10.0,5.0,0.6463477367485275
300.0,3.0,0.1,0.8,10.0,5.0,0.6444771511045115
30.0,10.0,0.1,0.8,1.0,5.0,0.644312356226039
300.0,6.0,0.1,1.0,1.0,5.0,0.6403011750282218
30.0,6.0,0.1,0.8,1.0,5.0,0.6401018299102494
30.0,6.0,0.1,1.0,1.0,5.0,0.6399872032856786
30.0,10.0,0.1,0.8,10.0,5.0,0.639645177064559
30.0,6.0,0.1,0.8,10.0,5.0,0.639645177064559
300.0,10.0,0.1,1.0,1.0,5.0,0.638922855260648
30.0,10.0,0.1,1.0,1.0,5.0,0.6383380599390105
30.0,3.0,0.1,0.8,10.0,5.0,0.6371609495099785
300.0,3.0,0.1,1.0,10.0,5.0,0.6203076422506567
30.0,3.0,0.1,1.0,10.0,5.0,0.6203076422506567
