scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,False,l2,0.0001,1000,0.6952055201457227
True,False,l2,0.0001,5000,0.6952055201457227
True,False,l2,0.001,1000,0.6833346318126754
True,False,l2,0.001,5000,0.6833346318126754
True,False,l2,0.01,1000,0.6490743855867861
True,False,l2,0.01,5000,0.6490743855867861
True,False,l2,0.1,1000,0.6289730670205641
True,False,l2,0.1,5000,0.6289730670205641
True,False,l2,1.0,1000,0.6203655649556833
True,False,l2,1.0,5000,0.6203655649556833
True,False,l2,10.0,1000,0.6154787577022908
True,False,l2,10.0,5000,0.6154787577022908
True,False,l2,100.0,1000,0.6129801045853277
True,False,l2,100.0,5000,0.6129801045853277
True,False,l2,1000.0,1000,0.612441367201873
True,False,l2,1000.0,5000,0.612441367201873
