no_lstm_units,batch_size,average_roc_auc
16.0,128.0,0.7891351685486345
32.0,128.0,0.7713632889532092
16.0,32.0,0.7531305754691725
32.0,32.0,0.7494004949805159
64.0,128.0,0.7377568468526607
32.0,64.0,0.7346486053797505
16.0,64.0,0.7304489810778587
64.0,32.0,0.7187717936722162
64.0,64.0,0.7172374742559573
4.0,128.0,0.6441724201726463
4.0,32.0,0.6402461424004288
4.0,64.0,0.6084205599229034
