Feature,Coefficient
first_window_timestamp Monitor Arteriele Bloeddruk Mean_mean,0.0
first_window_timestamp Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
first_window_timestamp Monitor Arteriele Bloeddruk Systole_mean,0.0
first_window_timestamp Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Hartfrequentie_skewness Pulse_pressure_var,0.0
first_window_timestamp Monitor Ademhalingsfrequentie_mean,0.0
first_window_timestamp Monitor Hartfrequentie_kurtosis,0.0
first_window_timestamp Monitor Hartfrequentie_skewness,0.0
first_window_timestamp Monitor Hartfrequentie_var,0.0
apgar10 Pulse_pressure_max,0.0
apgar10 Pulse_pressure_var,0.0
apgar10 Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
apgar10 Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
apgar10 Monitor Arteriele Bloeddruk Systole_mean,0.0
apgar10 Monitor Ademhalingsfrequentie_kurtosis,0.0
apgar10 Monitor Ademhalingsfrequentie_var,0.0
apgar10 Monitor Ademhalingsfrequentie_mean,0.0
apgar10 Monitor Hartfrequentie_kurtosis,0.0
apgar10 Monitor Hartfrequentie_skewness,0.0
apgar10 Monitor Hartfrequentie_var,0.0
Pulse_pressure_var,0.0
Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Ademhalingsfrequentie_min,0.0
Monitor Ademhalingsfrequentie_var,0.0
Monitor Ademhalingsfrequentie_mean,0.0
Monitor Hartfrequentie_kurtosis,0.0
first_window_timestamp Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
first_window_timestamp Monitor Ademhalingsfrequentie_var,0.0
first_window_timestamp Pulse_pressure_mean,0.0
Monitor Hartfrequentie_var Monitor Arteriele Bloeddruk Systole_mean,0.0
Monitor Hartfrequentie_skewness Pulse_pressure_mean,0.0
Monitor Hartfrequentie_skewness Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Hartfrequentie_skewness Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Monitor Hartfrequentie_skewness Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Hartfrequentie_skewness Monitor Arteriele Bloeddruk Systole_mean,0.0
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_skewness,0.0
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_var,0.0
Monitor Hartfrequentie_skewness Monitor Ademhalingsfrequentie_mean,0.0
Monitor Hartfrequentie_var Pulse_pressure_max,0.0
first_window_timestamp Pulse_pressure_var,0.0
Monitor Hartfrequentie_var Monitor Arteriele Bloeddruk Mean_mean,0.0
Monitor Hartfrequentie_var Monitor Arteriele Bloeddruk Diastole_kurtosis,0.0
Monitor Hartfrequentie_var Monitor Arteriele Bloeddruk Systole_kurtosis,0.0
Monitor Hartfrequentie_var Pulse_pressure_mean,0.0
Monitor Hartfrequentie_var Monitor Ademhalingsfrequentie_var,0.0
Monitor Hartfrequentie_var Monitor Ademhalingsfrequentie_kurtosis,0.0
Monitor Hartfrequentie_var Monitor Hartfrequentie_kurtosis,0.0
