criterion,max_depth,min_samples_split,min_samples_leaf,max_features,average_roc_auc
entropy,5,10,5,sqrt,0.7865646744105044
gini,3,50,20,sqrt,0.7833436695619522
gini,5,20,20,sqrt,0.781372607687775
gini,5,10,20,sqrt,0.781372607687775
entropy,3,50,20,sqrt,0.7748171778432993
entropy,5,20,5,sqrt,0.7707933201959626
gini,3,10,20,sqrt,0.7688221996767397
gini,3,20,20,sqrt,0.7688221996767397
entropy,3,10,20,sqrt,0.7679937069652277
entropy,3,20,20,sqrt,0.7679937069652277
gini,5,50,20,sqrt,0.7634302713456269
gini,5,50,10,sqrt,0.7633294142091342
gini,3,50,10,sqrt,0.7612609542341987
gini,10,50,20,sqrt,0.7575701753692519
gini,,50,20,sqrt,0.7575701753692519
gini,10,10,20,sqrt,0.7562849369605693
gini,10,20,20,sqrt,0.7562849369605693
gini,,20,20,sqrt,0.7562849369605693
gini,,10,20,sqrt,0.7562849369605693
entropy,5,50,10,sqrt,0.7545575825924751
gini,,50,10,sqrt,0.7484947091854758
gini,10,50,10,sqrt,0.7484947091854758
gini,5,20,10,sqrt,0.7480257478667793
gini,5,10,10,sqrt,0.7480257478667793
gini,5,10,5,sqrt,0.7471404293637435
gini,,20,10,sqrt,0.7445096902809544
gini,10,10,10,sqrt,0.7445096902809544
gini,10,20,10,sqrt,0.7445096902809544
gini,,10,10,sqrt,0.7445096902809544
gini,5,20,5,sqrt,0.7416700276724116
entropy,3,50,10,sqrt,0.7415025636783944
gini,3,10,5,sqrt,0.7407173303355118
entropy,10,50,20,sqrt,0.7312653627222179
entropy,5,50,20,sqrt,0.7312653627222179
entropy,,50,20,sqrt,0.7312653627222179
gini,3,20,5,sqrt,0.7283626791727211
entropy,3,10,5,sqrt,0.7218472331430932
entropy,5,20,20,sqrt,0.7194632765006553
entropy,5,10,20,sqrt,0.7194632765006553
entropy,10,20,20,sqrt,0.7151154504136988
entropy,,20,20,sqrt,0.7151154504136988
entropy,10,10,20,sqrt,0.7151154504136988
entropy,,10,20,sqrt,0.7151154504136988
entropy,,50,10,sqrt,0.7095549731552224
entropy,10,50,10,sqrt,0.7095549731552224
entropy,10,20,5,sqrt,0.705572596658104
entropy,,20,5,sqrt,0.705572596658104
gini,,10,5,sqrt,0.6919676200703383
gini,10,10,5,sqrt,0.6919676200703383
entropy,3,20,5,sqrt,0.6891437447710002
entropy,,10,10,sqrt,0.6745588573439546
entropy,10,10,10,sqrt,0.6745588573439546
entropy,,20,10,sqrt,0.6745588573439546
entropy,10,20,10,sqrt,0.6745588573439546
entropy,3,50,5,sqrt,0.669113758081193
entropy,5,10,10,sqrt,0.6668100328925439
entropy,5,20,10,sqrt,0.6668100328925439
gini,3,50,5,sqrt,0.6664795807164122
entropy,3,20,10,sqrt,0.6637399896680323
entropy,3,10,10,sqrt,0.6637399896680323
gini,3,20,10,sqrt,0.6593497837309071
gini,3,10,10,sqrt,0.6593497837309071
entropy,5,50,5,sqrt,0.6589508878337937
gini,10,50,5,sqrt,0.6389035530589935
gini,,50,5,sqrt,0.6389035530589935
gini,10,20,5,sqrt,0.6376636179481486
gini,,20,5,sqrt,0.6376636179481486
entropy,10,50,5,sqrt,0.6296582805383274
entropy,,50,5,sqrt,0.6296582805383274
gini,5,50,5,sqrt,0.6272930999798852
entropy,10,10,5,sqrt,0.5825970983192337
entropy,,10,5,sqrt,0.5825970983192337
