no_lstm_units,batch_size,average_roc_auc
16.0,64.0,0.8313643367710085
32.0,128.0,0.8131155883977874
64.0,128.0,0.8034329778380718
32.0,64.0,0.7998799534341356
16.0,128.0,0.7972587197227421
16.0,32.0,0.7857240067988255
64.0,32.0,0.7766733981745662
4.0,32.0,0.7634722880052977
64.0,64.0,0.7576439167975159
32.0,32.0,0.7516514731031746
4.0,64.0,0.6370085946091185
4.0,128.0,0.5712367651810357
