n_estimators,max_depth,learning_rate,subsample,reg_alpha,gamma,average_roc_auc
30.0,3.0,0.1,0.8,1.0,0.5,0.8573580643358981
300.0,6.0,0.1,0.8,1.0,0.5,0.8502548674381726
300.0,10.0,0.1,0.8,1.0,0.5,0.849964169763754
300.0,3.0,0.1,0.8,1.0,0.5,0.8464422679554212
300.0,10.0,0.1,1.0,1.0,0.5,0.8404925272879014
300.0,6.0,0.1,1.0,1.0,0.5,0.8383186142444231
300.0,3.0,0.1,1.0,1.0,0.5,0.8359652779412922
30.0,6.0,0.1,0.8,1.0,0.5,0.8319972488838637
30.0,10.0,0.1,0.8,1.0,0.5,0.8319972488838637
300.0,10.0,0.1,1.0,1.0,5.0,0.8242895898742213
300.0,6.0,0.1,1.0,1.0,5.0,0.8242895898742213
300.0,3.0,0.1,1.0,1.0,5.0,0.8223568560750079
30.0,3.0,0.1,1.0,1.0,5.0,0.8220661584005893
30.0,10.0,0.1,1.0,1.0,5.0,0.8183028407238795
30.0,6.0,0.1,1.0,1.0,5.0,0.8183028407238795
30.0,3.0,0.1,1.0,1.0,0.5,0.811053276404685
300.0,6.0,0.1,0.8,1.0,5.0,0.8105189102946765
300.0,10.0,0.1,0.8,1.0,5.0,0.8105189102946765
300.0,3.0,0.1,0.8,1.0,5.0,0.8104301257832777
30.0,10.0,0.1,1.0,1.0,0.5,0.8053699032644154
30.0,6.0,0.1,1.0,1.0,0.5,0.8031959902209371
30.0,3.0,0.1,0.8,1.0,5.0,0.8030208616496142
30.0,10.0,0.1,0.8,1.0,5.0,0.8021179008930046
30.0,6.0,0.1,0.8,1.0,5.0,0.8021179008930046
300.0,10.0,0.1,0.8,1.0,10.0,0.7906253848875925
300.0,6.0,0.1,0.8,1.0,10.0,0.7906253848875925
300.0,3.0,0.1,0.8,1.0,10.0,0.7906253848875925
30.0,6.0,0.1,1.0,10.0,0.5,0.7701199860812823
300.0,6.0,0.1,1.0,10.0,0.5,0.7701199860812823
30.0,10.0,0.1,1.0,10.0,0.5,0.7701199860812823
300.0,10.0,0.1,1.0,10.0,0.5,0.7701199860812823
300.0,6.0,0.1,1.0,1.0,10.0,0.7666650212250413
300.0,10.0,0.1,1.0,1.0,10.0,0.7666650212250413
300.0,6.0,0.1,0.8,10.0,0.5,0.7659394074104597
300.0,10.0,0.1,0.8,10.0,0.5,0.7659394074104597
300.0,3.0,0.1,1.0,1.0,10.0,0.7653568816901577
300.0,3.0,0.1,1.0,10.0,0.5,0.7638307096231659
30.0,3.0,0.1,1.0,10.0,0.5,0.7638307096231659
30.0,10.0,0.1,0.8,10.0,0.5,0.7617746397112528
30.0,6.0,0.1,0.8,10.0,0.5,0.7617746397112528
300.0,3.0,0.1,0.8,10.0,0.5,0.7591442462097251
30.0,10.0,0.1,0.8,1.0,10.0,0.7588009616957353
30.0,3.0,0.1,0.8,1.0,10.0,0.7588009616957353
30.0,6.0,0.1,0.8,1.0,10.0,0.7588009616957353
30.0,3.0,0.1,0.8,10.0,0.5,0.7576052697123702
30.0,3.0,0.1,1.0,1.0,10.0,0.7566267229599989
30.0,6.0,0.1,1.0,1.0,10.0,0.756190676448371
30.0,10.0,0.1,1.0,1.0,10.0,0.756190676448371
30.0,6.0,0.1,1.0,10.0,5.0,0.5911405385347194
300.0,10.0,0.1,1.0,10.0,5.0,0.5911405385347194
300.0,6.0,0.1,1.0,10.0,5.0,0.5911405385347194
30.0,3.0,0.1,1.0,10.0,5.0,0.5911405385347194
30.0,10.0,0.1,1.0,10.0,5.0,0.5911405385347194
300.0,3.0,0.1,1.0,10.0,5.0,0.5911405385347194
300.0,10.0,0.1,1.0,50.0,5.0,0.5
300.0,10.0,0.1,1.0,50.0,10.0,0.5
300.0,10.0,0.1,1.0,100.0,5.0,0.5
300.0,10.0,0.1,1.0,100.0,0.5,0.5
300.0,6.0,0.1,0.8,50.0,0.5,0.5
300.0,3.0,0.1,1.0,100.0,10.0,0.5
300.0,3.0,0.1,1.0,100.0,5.0,0.5
300.0,3.0,0.1,1.0,100.0,0.5,0.5
300.0,3.0,0.1,1.0,50.0,10.0,0.5
300.0,3.0,0.1,1.0,50.0,5.0,0.5
300.0,3.0,0.1,1.0,50.0,0.5,0.5
300.0,6.0,0.1,0.8,10.0,10.0,0.5
300.0,6.0,0.1,0.8,100.0,10.0,0.5
300.0,6.0,0.1,0.8,50.0,5.0,0.5
300.0,10.0,0.1,1.0,50.0,0.5,0.5
300.0,10.0,0.1,0.8,50.0,5.0,0.5
300.0,10.0,0.1,0.8,50.0,0.5,0.5
300.0,10.0,0.1,0.8,10.0,10.0,0.5
300.0,10.0,0.1,0.8,100.0,0.5,0.5
300.0,10.0,0.1,0.8,100.0,5.0,0.5
300.0,10.0,0.1,0.8,100.0,10.0,0.5
300.0,6.0,0.1,1.0,100.0,10.0,0.5
300.0,6.0,0.1,1.0,100.0,5.0,0.5
300.0,6.0,0.1,1.0,100.0,0.5,0.5
300.0,6.0,0.1,1.0,50.0,5.0,0.5
300.0,6.0,0.1,1.0,50.0,0.5,0.5
300.0,10.0,0.1,0.8,50.0,10.0,0.5
300.0,6.0,0.1,0.8,100.0,5.0,0.5
300.0,6.0,0.1,0.8,100.0,0.5,0.5
300.0,6.0,0.1,0.8,50.0,10.0,0.5
300.0,6.0,0.1,1.0,50.0,10.0,0.5
300.0,10.0,0.1,1.0,100.0,10.0,0.5
300.0,3.0,0.1,0.8,100.0,10.0,0.5
30.0,6.0,0.1,1.0,100.0,10.0,0.5
300.0,3.0,0.1,0.8,100.0,5.0,0.5
30.0,6.0,0.1,1.0,50.0,10.0,0.5
30.0,6.0,0.1,1.0,50.0,5.0,0.5
30.0,6.0,0.1,1.0,50.0,0.5,0.5
30.0,6.0,0.1,0.8,100.0,10.0,0.5
30.0,6.0,0.1,0.8,100.0,5.0,0.5
30.0,6.0,0.1,0.8,100.0,0.5,0.5
30.0,6.0,0.1,0.8,50.0,10.0,0.5
30.0,6.0,0.1,0.8,50.0,5.0,0.5
30.0,6.0,0.1,0.8,50.0,0.5,0.5
30.0,6.0,0.1,0.8,10.0,10.0,0.5
30.0,3.0,0.1,1.0,100.0,10.0,0.5
30.0,3.0,0.1,1.0,100.0,5.0,0.5
30.0,3.0,0.1,1.0,100.0,0.5,0.5
30.0,3.0,0.1,1.0,50.0,10.0,0.5
30.0,3.0,0.1,1.0,50.0,5.0,0.5
30.0,3.0,0.1,1.0,50.0,0.5,0.5
30.0,3.0,0.1,0.8,100.0,10.0,0.5
30.0,3.0,0.1,0.8,100.0,5.0,0.5
30.0,3.0,0.1,0.8,100.0,0.5,0.5
30.0,3.0,0.1,0.8,50.0,10.0,0.5
30.0,3.0,0.1,0.8,50.0,5.0,0.5
30.0,3.0,0.1,0.8,50.0,0.5,0.5
30.0,6.0,0.1,1.0,100.0,5.0,0.5
30.0,6.0,0.1,1.0,100.0,0.5,0.5
300.0,3.0,0.1,0.8,50.0,10.0,0.5
300.0,3.0,0.1,0.8,50.0,5.0,0.5
30.0,10.0,0.1,1.0,100.0,10.0,0.5
30.0,10.0,0.1,1.0,100.0,5.0,0.5
30.0,10.0,0.1,1.0,100.0,0.5,0.5
30.0,10.0,0.1,1.0,50.0,10.0,0.5
300.0,3.0,0.1,0.8,10.0,10.0,0.5
300.0,3.0,0.1,0.8,50.0,0.5,0.5
30.0,10.0,0.1,1.0,50.0,5.0,0.5
30.0,10.0,0.1,1.0,50.0,0.5,0.5
30.0,3.0,0.1,0.8,10.0,10.0,0.5
30.0,10.0,0.1,0.8,100.0,10.0,0.5
30.0,10.0,0.1,0.8,100.0,5.0,0.5
30.0,10.0,0.1,0.8,100.0,0.5,0.5
