scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,False,l2,0.1,1000,0.8100199274293186
True,False,l2,0.1,5000,0.8100199274293186
True,False,l2,1.0,1000,0.8076807388111039
True,False,l2,1.0,5000,0.8076807388111039
True,False,l2,10.0,1000,0.8050579092626746
True,False,l2,10.0,5000,0.8050579092626746
True,False,l2,100.0,1000,0.804825135598666
True,False,l2,100.0,5000,0.804825135598666
True,False,l2,1000.0,1000,0.8047567174267996
True,False,l2,1000.0,5000,0.8047567174267996
True,False,l2,0.01,1000,0.7950053023925971
True,False,l2,0.01,5000,0.7950053023925971
True,False,l2,0.001,1000,0.7713407947314976
True,False,l2,0.001,5000,0.7713407947314976
True,False,l2,0.0001,1000,0.7681384445889912
True,False,l2,0.0001,5000,0.7681384445889912
