Feature,Coefficient,Train set stdev,Odds ratio
Breathing Rate min Pulse Pressure variability,0.0,201.76512493865184,1.0
Breathing Rate skewness Breathing Rate kurtosis,0.0,1515.3402555862244,1.0
Breathing Rate skewness Systolic Blood Pressure mean,0.0,107.76434773557952,1.0
Breathing Rate skewness Systolic Blood Pressure max,0.0,152.93107144549052,1.0
Breathing Rate skewness Systolic Blood Pressure kurtosis,0.0,41.958321432014664,1.0
Breathing Rate skewness Diastolic Bood Pressure slope,0.0,0.012395750907854268,1.0
Oxygen Saturation mean Systolic Blood Pressure mean,0.0,694.3392228597944,1.0
Oxygen Saturation mean Breathing Rate kurtosis,0.0,4639.7567870409175,1.0
Oxygen Saturation mean Breathing Rate skewness,0.0,176.89010533439907,1.0
First window timestamp Breathing Rate skewness,0.0,6684.40186118667,1.0
First window timestamp Systolic Blood Pressure mean,0.0,138199.664212261,1.0
First window timestamp Systolic Blood Pressure max,0.0,210701.3755304246,1.0
First window timestamp Systolic Blood Pressure kurtosis,0.0,64068.42943503904,1.0
First window timestamp Diastolic Bood Pressure slope,0.0,20.157740482962335,1.0
First window timestamp Pulse Pressure mean,0.0,49320.52264754862,1.0
First window timestamp Pulse Pressure variability,0.0,36017.483873075915,1.0
Heart Rate variability Heart Rate skewness,0.0,108.34856780225032,1.0
Heart Rate variability Oxygen Saturation mean,0.0,11236.674339580311,1.0
Heart Rate variability Oxygen Saturation variability,0.0,1174.739913903156,1.0
Heart Rate variability Oxygen Saturation min,0.0,8982.186524166962,1.0
Heart Rate variability Oxygen Saturation slope,0.0,0.42565996330244077,1.0
Oxygen Saturation mean Breathing Rate min,0.0,716.5494806578412,1.0
Heart Rate variability Breathing Rate skewness,0.0,188.2399788165784,1.0
Heart Rate variability Breathing Rate kurtosis,0.0,3134.9286323628994,1.0
Heart Rate variability Systolic Blood Pressure mean,0.0,7111.7115992592635,1.0
First window timestamp Breathing Rate kurtosis,0.0,181110.36576020578,1.0
First window timestamp Breathing Rate variability,0.0,289864.5207665014,1.0
Heart Rate variability Systolic Blood Pressure kurtosis,0.0,1847.809488885943,1.0
First window timestamp Oxygen Saturation slope,0.0,7.528158294991123,1.0
Heart Rate kurtosis,0.0,2.144370171996904,1.0
Oxygen Saturation mean,0.0,2.0776940774051083,1.0
Oxygen Saturation slope,0.0,0.001990053815956713,1.0
Breathing Rate variability,0.0,54.91929716210309,1.0
Breathing Rate min,0.0,7.4063049767083795,1.0
Breathing Rate kurtosis,0.0,50.62763761015201,1.0
Systolic Blood Pressure mean,0.0,7.216416545464787,1.0
Systolic Blood Pressure max,0.0,24.13053156789508,1.0
Systolic Blood Pressure kurtosis,0.0,22.50402213932576,1.0
Diastolic Bood Pressure slope,0.0,0.005520783744704553,1.0
Pulse Pressure variability,0.0,9.898502076965057,1.0
First window timestamp Heart Rate variability,0.0,523475.3995213913,1.0
First window timestamp Heart Rate skewness,0.0,2370.060140257642,1.0
First window timestamp Heart Rate kurtosis,0.0,5994.6012416333,1.0
First window timestamp Oxygen Saturation min,0.0,161764.9136146918,1.0
Heart Rate variability Systolic Blood Pressure max,0.0,11023.446592639148,1.0
Heart Rate variability Breathing Rate min,0.0,2352.730607881436,1.0
Heart Rate variability Diastolic Bood Pressure slope,0.0,1.2186227968347154,1.0
Heart Rate kurtosis Oxygen Saturation mean,0.0,210.51985488683133,1.0
Heart Rate kurtosis Oxygen Saturation min,0.0,173.3681365932024,1.0
Heart Rate variability Pulse Pressure mean,0.0,2369.1448406376903,1.0
Heart Rate kurtosis Breathing Rate variability,0.0,118.32271192020013,1.0
Heart Rate kurtosis Breathing Rate min,0.0,36.818035462238875,1.0
Heart Rate kurtosis Breathing Rate skewness,0.0,2.4534556059410044,1.0
Heart Rate kurtosis Breathing Rate kurtosis,0.0,21.73348988435983,1.0
Heart Rate kurtosis Systolic Blood Pressure max,0.0,204.09365691712986,1.0
Heart Rate kurtosis Systolic Blood Pressure kurtosis,0.0,56.37263068727695,1.0
Heart Rate kurtosis Diastolic Bood Pressure slope,0.0,0.008809763809893876,1.0
Heart Rate kurtosis Pulse Pressure mean,0.0,41.97234558341113,1.0
Heart Rate kurtosis Pulse Pressure variability,0.0,20.788120310835158,1.0
Oxygen Saturation mean Oxygen Saturation variability,0.0,384.74281698886307,1.0
Oxygen Saturation mean Oxygen Saturation min,0.0,1202.6648687358252,1.0
Oxygen Saturation mean Oxygen Saturation slope,0.0,0.1916250111158904,1.0
Oxygen Saturation mean Breathing Rate variability,0.0,5290.2290614060785,1.0
